;200;210;220;230;240;250;260;270;280;290;300;310;320;330;340;350;360;370;380;390;400;410;420;430;440;450;460;470;480;490;500;510;520;530;540;550;560;570;580;590
200;0,185875;0,37855000000000005;0,1496428571428572;0,36864285714285716;0,4666818181818182;0,35677272727272724;0,4488260869565217;0,43702173913043474;0,4312083333333333;0,4350625;0,41228;0,43366000000000005;0,38796153846153847;0,4331346153846154;0,3632222222222222;0,4337592592592593;0,3376785714285714;0,4344821428571428;0,3112758620689655;0,43391379310344824;0,27749999999999997;0,4319166666666666;0,2437096774193548;0,42830645161290326;0,21378125000000003;0,422921875;0,42892424242424243;0,41562121212121217;0,40951470588235295;0,4063382352941176;0,39118571428571425;0,4351571428571429;0,37440277777777775;0,43125;0,3572297297297298;0,42795945945945946;0,3400921052631579;0,4253157894736842;0,3225769230769231;0,4232179487179487;
210;0,30546249999999997;0,42074999999999996;0,2893780487804878;0,41767073170731706;0,2746547619047619;0,4139047619047619;0,2606627906976744;0,40926744186046515;0,41013636363636363;0,40368181818181814;0,39268888888888887;0,39698888888888884;0,3764347826086957;0,43736956521739134;0,3607446808510638;0,43636170212765957;0,346;0,4356041666666667;0,3315714285714285;0,4352857142857143;0,31792;0,43566000000000005;0,3038235294117647;0,4360196078431372;0,2898846153846154;0,4355961538461538;0,2766603773584906;0,4343584905660377;0,4133981481481481;0,4321666666666667;0,3988636363636363;0,4288545454545455;0,38352678571428567;0,42430357142857145;0,3687631578947368;0,4182631578947369;0,35512931034482753;0,4357068965517241;0,3417542372881356;0,43331355932203386;
220;0,1496428571428572;0,3477619047619047;0,11870748299319733;0,33716553287981854;0,4257142857142857;0,3248917748917749;0,3978467908902692;0,4065631469979296;0,373015873015873;0,40573412698412703;0,35070476190476185;0,4055047619047619;0,3294505494505494;0,40595238095238095;0,30913580246913586;0,40608465608465605;0,2878231292517007;0,40532312925170066;0,26548440065681445;0,40343185550082106;0,2359365079365079;0,4002698412698412;0,2062058371735791;0,395652841781874;0,18000000000000005;0,3894196428571428;0,3882683982683983;0,38142857142857145;0,3656162464985995;0,37161064425770307;0,34461224489795916;0,4046122448979592;0,3257010582010582;0,4016402116402117;0,3077606177606178;0,39908622908622904;0,2912406015037594;0,3968671679197995;0,2764224664224664;0,3942979242979243;
230;0,2621309523809524;0,39128571428571424;0,24867595818815336;0,38772357723577233;0,2363832199546485;0,38353741496598637;0,2247951273532669;0,3785271317829457;0,36963203463203465;0,3726623376623377;0,3511957671957672;0,3657248677248677;0,3336438923395445;0,40660455486542446;0,3172441742654508;0,4062613981762918;0,3020436507936508;0,4061309523809524;0,2876579203109816;0,40635568513119535;0,27445714285714284;0,40641904761904757;0,2616619981325864;0,4059943977591036;0,2499084249084249;0,40485347985347986;0,23863432165318954;0,4029649595687331;0,372989417989418;0,4001940035273368;0,35845021645021646;0,3963809523809524;0,34289965986394555;0,39141156462585036;0,32779448621553886;0,3851127819548872;0,31393267651888346;0,4052052545155993;0,30050847457627117;0,40338175948345445;
240;0,4666818181818182;0,31240909090909086;0,4257142857142857;0,30166666666666664;0,5996900826446281;0,289297520661157;0,5919565217391305;0,37073122529644265;0,5855492424242424;0,3715719696969697;0,5800181818181818;0,37183636363636363;0,573409090909091;0,37166083916083914;0,563989898989899;0,37069023569023574;0,5486525974025974;0,3689448051948052;0,5358777429467085;0,36619122257053294;0,5256515151515151;0,3622878787878788;0,5118035190615835;0,35705278592375367;0,4946732954545454;0,35032670454545456;0,593801652892562;0,3419696969696969;0,5859358288770053;0,3326069518716578;0,57812987012987;0,36990909090909085;0,5705555555555555;0,3676515151515152;0,5622604422604423;0,36527027027027026;0,5526315789473684;0,3626794258373206;0,5427738927738928;0,3597552447552448;
250;0,5305;0,3564318181818181;0,5142350332594234;0,3526053215077606;0,49768398268398273;0,3482034632034632;0,48412262156448205;0,34305496828752646;0,5910847107438016;0,33708677685950417;0,5841717171717171;0,33019191919191915;0,5777766798418973;0,3710869565217392;0,570357833655706;0,3715087040618955;0,5630587121212121;0,3715719696969697;0,5554267161410018;0,3714100185528757;0,5470090909090909;0,37089090909090905;0,5377272727272727;0,3699286987522281;0,5274562937062937;0,3683041958041958;0,5157718696397942;0,36598627787307036;0,5941919191919192;0,36284511784511786;0,5894545454545455;0,3587272727272727;0,5834902597402598;0,35352272727272727;0,5775598086124403;0,347799043062201;0,5717398119122257;0,37003134796238246;0,5652234206471495;0,3686055469953775;
260;0,4488260869565217;0,2696521739130435;0,3978467908902692;0,2591511387163561;0,5919565217391305;0,2480632411067194;0,5840642722117202;0,3284120982986768;0,5763224637681159;0,32849637681159416;0,5698260869565217;0,32808695652173914;0,5615551839464883;0,3273076923076923;0,5525442834138486;0,32581320450885665;0,5386490683229814;0,3236180124223602;0,5288305847076462;0,3204947526236882;0,5175217391304348;0,31630434782608696;0,4990322580645161;0,3108695652173913;0,4776766304347826;0,3040353260869565;0,5874044795783926;0,29566534914361;0,5782864450127877;0,28824808184143225;0,5684223602484473;0,32704347826086955;0,5591304347826087;0,32468599033816425;0,5487896592244419;0,32226792009400707;0,5377345537757436;0,3196567505720824;0,5255741360089186;0,31673355629877364;
270;0,5108695652173914;0,3134347826086956;0,4951007423117709;0,30966065747614;0,4804761904761905;0,3053416149068323;0,4692416582406471;0,30029322548028314;0,5853656126482214;0,2944861660079051;0,5768212560386474;0,2883864734299517;0,5686483931947071;0,32780718336483927;0,5596392229417206;0,32786308973172984;0,550534420289855;0,32759057971014494;0,5410913930789707;0,32711623779946764;0,5310521739130435;0,32631304347826084;0,5201108269394714;0,32509803921568625;0,5075836120401338;0,3232608695652174;0,49336341263330596;0,3207711238720262;0,5895491143317231;0,31750402576489534;0,5841422924901185;0,3133122529644269;0,5768478260869565;0,3081521739130435;0,5690770404271548;0,30381388253241803;0,5617691154422788;0,327376311844078;0,5535003684598379;0,3259027266028003;
280;0,4312083333333333;0,2294166666666667;0,373015873015873;0,21938492063492065;0,5855492424242424;0,2114583333333333;0,5763224637681159;0,28704710144927537;0,5677256944444444;0,2865451388888889;0,5606833333333333;0,28561666666666663;0,5519391025641025;0,28437500000000004;0,5423611111111111;0,28248456790123455;0,5304315476190475;0,27995535714285713;0,524382183908046;0,27656609195402304;0,5092361111111111;0,27218055555555554;0,4864112903225807;0,2666263440860215;0,46069010416666667;0,2597526041666667;0,5816666666666667;0,2525883838383839;0,5704166666666667;0,247610294117647;0,5587857142857142;0,28634523809523804;0,547962962962963;0,2840046296296296;0,5362837837837837;0,28156531531531537;0,5233552631578947;0,2789473684210526;0,5085897435897435;0,2760363247863248;
290;0,49354166666666666;0,2727708333333333;0,478089430894309;0,2690548780487805;0,46593253968253967;0,26482142857142854;0,457015503875969;0,25991279069767437;0,5799147727272727;0,25436553030303033;0,5694907407407408;0,24982407407407403;0,5595199275362319;0,28744565217391305;0,5488741134751773;0,28718085106382973;0,5380815972222222;0,28661458333333334;0,5268792517006803;0,28586734693877547;0,515325;0,2848166666666667;0,5022630718954249;0,2833823529411764;0,48691506410256413;0,28136217948717945;0,4717374213836478;0,2787264150943396;0,5861265432098766;0,27535493827160495;0,5788636363636364;0,2711060606060606;0,5698958333333333;0,2666815476190476;0,5604239766081871;0,26375730994152047;0,5515804597701149;0,2865086206896552;0,5419915254237289;0,2850353107344633;
300;0,41228;0,19091999999999998;0,35070476190476185;0,1827619047619048;0,5800181818181818;0,17820000000000003;0,5698260869565217;0,24770434782608697;0,5606833333333333;0,2467166666666667;0,5524640000000001;0,24536000000000002;0,5433384615384615;0,24373846153846157;0,5334074074074073;0,24152592592592592;0,5252714285714286;0,2387285714285714;0,5198482758620689;0,23513103448275863;0,5000666666666667;0,23060000000000003;0,4728903225806451;0,22496774193548386;0,4422125;0,21838749999999996;0,5760000000000001;0,21341818181818184;0,5629411764705883;0,21067058823529417;0,5500114285714286;0,24622857142857146;0,537511111111111;0,24391111111111108;0,5236108108108108;0,24154594594594592;0,5078947368421053;0,23901052631578945;0,4926769230769231;0,23619487179487175;
310;0,47796000000000005;0,23304000000000002;0,4645853658536585;0,2294536585365854;0,45472380952380953;0,22537142857142856;0,44733023255813953;0,22062325581395348;0,5742454545454545;0,21616363636363634;0,5623555555555555;0,21336888888888894;0,5505304347826088;0,24700869565217387;0,5383234042553191;0,24651914893617022;0,525925;0,24575000000000002;0,5125632653061225;0,24481632653061225;0,498584;0,24360000000000004;0,4825176470588235;0,24202352941176475;0,46734615384615386;0,23989230769230774;0,45298867924528297;0,2371773584905661;0,5820888888888889;0,23376296296296295;0,5731927272727273;0,22974545454545459;0,5627857142857142;0,2267285714285714;0,5518456140350877;0,2251368421052632;0,5414068965517241;0,24662068965517236;0,5303186440677966;0,24517288135593218;
320;0,38796153846153847;0,15519230769230774;0,3294505494505494;0,1503663003663004;0,573409090909091;0,1489160839160839;0,5615551839464883;0,20834448160535113;0,5519391025641025;0,20703525641025644;0,5433384615384615;0,20540000000000003;0,5335650887573964;0,20353550295857992;0,5264529914529914;0,2011253561253561;0,5213324175824177;0,19817307692307695;0,5117904509283819;0,1944694960212202;0,48750000000000004;0,18988461538461543;0,45574441687344913;0,18430521091811414;0,41890625000000004;0,1796033653846154;0,5682517482517482;0,17691142191142195;0,5530995475113123;0,17623303167420812;0,5385274725274725;0,20748351648351648;0,5240598290598291;0,20529914529914528;0,5078794178794179;0,20302494802494797;0,4913967611336032;0,200587044534413;0,4768441814595661;0,19787968441814596;
330;0,4639615384615384;0,1948461538461539;0,4529455909943715;0,1913977485928705;0,44499999999999995;0,18747252747252752;0,4366726296958855;0,1834168157423971;0,5660052447552448;0,18064685314685314;0,552008547008547;0,17936752136752132;0,5386204013377927;0,20844481605351173;0,5246890343698855;0,20777414075286416;0,5101201923076923;0,20684294871794873;0,49423076923076925;0,20576138147566714;0,47817692307692305;0,20441538461538467;0,46272247360482655;0,2027300150829563;0,44848372781065093;0,20051775147928996;0,435566037735849;0,1977503628447025;0,5747435897435897;0,19440170940170942;0,5646573426573427;0,19156643356643355;0,5524038461538461;0,18987637362637366;0,5398785425101215;0,18951417004048587;0,5277984084880636;0,20766578249336876;0,5151890482398958;0,20629074315514995;
340;0,3632222222222222;0,12350000000000005;0,30913580246913586;0,12195767195767193;0,563989898989899;0,12324915824915827;0,5525442834138486;0,17106280193236711;0,5423611111111111;0,16949074074074078;0,5334074074074073;0,16762962962962968;0,5264529914529914;0,16556980056980053;0,5229218106995885;0,1630041152263374;0,5149867724867725;0,15993386243386243;0,5004980842911877;0,15615581098339715;0,47156790123456793;0,15154320987654324;0,4341816009557945;0,14737156511350058;0,39093750000000005;0,1449421296296296;0,5575757575757576;0,144320987654321;0,54119825708061;0,1455228758169934;0,5246349206349206;0,16978835978835982;0,5075308641975309;0,167716049382716;0,49107107107107106;0,16559559559559556;0,47588693957115014;0,1633138401559454;0,46366571699905035;0,16076923076923078;
